2023-05-15 02:03:08.919 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-15 02:03:08.985 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-15 02:03:08.985 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1071 ms
2023-05-15 02:03:09.084 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-15 02:03:09.124 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-05-15 02:03:09.350 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-05-15 02:03:09.463 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@48368a08
2023-05-15 02:03:09.465 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-05-15 02:03:09.479 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-05-15 02:03:09.480 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2023-05-15 02:03:10.215 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-15 02:03:10.222 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-05-15 02:03:10.872 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-15 02:03:11.095 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6a5a99d9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@278df226, org.springframework.security.web.context.SecurityContextHolderFilter@22f756c5, org.springframework.security.web.header.HeaderWriterFilter@33ef393a, org.springframework.web.filter.CorsFilter@eea69a9, org.springframework.security.web.authentication.logout.LogoutFilter@35b70f9d, com.example.backend.config.JwtAuthenticationFilter@1a45e29f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1d397e87, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@36def543, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@28a33dc9, org.springframework.security.web.session.SessionManagementFilter@7f0b2bf1, org.springframework.security.web.access.ExceptionTranslationFilter@47a68e3f, org.springframework.security.web.access.intercept.AuthorizationFilter@b3cbc0e]
2023-05-15 02:03:11.258 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9001"]
2023-05-15 02:03:11.273 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9001 (http) with context path ''
2023-05-15 02:03:11.279 [main] INFO  c.example.backend.BackendApplication - Started BackendApplication in 3.724 seconds (process running for 4.36)
2023-05-15 02:04:07.635 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-05-15 02:04:07.636 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-05-15 02:04:07.642 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-05-15 02:58:28.861 [main] INFO  c.example.backend.BackendApplication - Starting BackendApplication using Java 19.0.2 with PID 9800 (C:\Users\Pratyush Upadhyay\Desktop\JahazBooker\JB_backend\target\classes started by Pratyush Upadhyay in C:\Users\Pratyush Upadhyay\Desktop\JahazBooker\JB_backend)
2023-05-15 02:58:28.863 [main] INFO  c.example.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 02:58:29.471 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-15 02:58:29.539 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 61 ms. Found 7 JPA repository interfaces.
2023-05-15 02:58:30.013 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9001 (http)
2023-05-15 02:58:30.020 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9001"]
2023-05-15 02:58:30.021 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-15 02:58:30.021 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-15 02:58:30.092 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-15 02:58:30.092 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1193 ms
2023-05-15 02:58:30.200 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-15 02:58:30.254 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-05-15 02:58:30.533 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-05-15 02:58:30.669 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3c09a350
2023-05-15 02:58:30.670 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-05-15 02:58:30.688 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-05-15 02:58:30.689 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2023-05-15 02:58:31.471 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-15 02:58:31.479 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-05-15 02:58:32.142 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-15 02:58:32.396 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@35b70f9d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@21dbd651, org.springframework.security.web.context.SecurityContextHolderFilter@3f119b55, org.springframework.security.web.header.HeaderWriterFilter@57657b96, org.springframework.web.filter.CorsFilter@5f63a6f2, org.springframework.security.web.authentication.logout.LogoutFilter@147203c2, com.example.backend.config.JwtAuthenticationFilter@24536f07, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@fefd4a2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6d2693f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6a577564, org.springframework.security.web.session.SessionManagementFilter@3aec2f59, org.springframework.security.web.access.ExceptionTranslationFilter@2bab1821, org.springframework.security.web.access.intercept.AuthorizationFilter@31f4fdc5]
2023-05-15 02:58:32.599 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9001"]
2023-05-15 02:58:32.618 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9001 (http) with context path ''
2023-05-15 02:58:32.624 [main] INFO  c.example.backend.BackendApplication - Started BackendApplication in 4.135 seconds (process running for 4.859)
2023-05-15 02:58:57.326 [http-nio-9001-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-15 02:58:57.327 [http-nio-9001-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-15 02:58:57.328 [http-nio-9001-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-15 02:58:57.446 [http-nio-9001-exec-2] INFO  c.e.b.controller.UserController - [Register User] - [POST]
2023-05-15 02:59:14.300 [http-nio-9001-exec-3] INFO  c.e.b.controller.UserController - [Authenticate] - [POST]
2023-05-15 03:03:31.083 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-05-15 03:03:31.085 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-05-15 03:03:31.091 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
